ID	Energia Consumida
999 	 9000.0
1001 	 8105.0
1002 	 7935.0
1003 	 10030.0
1004 	 9885.0
1005 	 9455.0
1006 	 5205.0
1007 	 6185.0
1008 	 7160.0
1009 	 8905.0
1010 	 5500.0
1011 	 7225.0
1012 	 9115.0
1013 	 7785.0
1014 	 8530.0
1016 	 9130.0
1017 	 8295.0
1018 	 11040.0
1019 	 5910.0
1020 	 8095.0
1021 	 7300.0
1022 	 8440.0
1023 	 9900.0
1024 	 6530.0
1025 	 8715.0
1026 	 5425.0
1027 	 9515.0
1028 	 8810.0
1029 	 7720.0
1030 	 7690.0
1031 	 7795.0
1032 	 10855.0
ID	Energia Consumida
999 	 9000.0
1001 	 8105.0
1002 	 7935.0
1003 	 10030.0
1004 	 9885.0
1005 	 9455.0
1006 	 5205.0
1007 	 6185.0
1008 	 7160.0
1009 	 8905.0
1010 	 5500.0
1011 	 7225.0
1012 	 9115.0
1013 	 7785.0
1014 	 8530.0
1016 	 9130.0
1017 	 8295.0
1018 	 11040.0
1019 	 5910.0
1020 	 8095.0
1021 	 7300.0
1022 	 8440.0
1023 	 9900.0
1024 	 6530.0
1025 	 8715.0
1026 	 5425.0
1027 	 9515.0
1028 	 8810.0
1029 	 7720.0
1030 	 7690.0
1031 	 7795.0
1032 	 10855.0
ID	Energia Consumida
999 	 9000.0
1001 	 8105.0
1002 	 7935.0
1003 	 10030.0
1004 	 9885.0
1005 	 9455.0
1006 	 5205.0
1007 	 6185.0
1008 	 7160.0
1009 	 8905.0
1010 	 5500.0
1011 	 7225.0
1012 	 9115.0
1013 	 7785.0
1014 	 8530.0
1016 	 9130.0
1017 	 8295.0
1018 	 11040.0
1019 	 5910.0
1020 	 8095.0
1021 	 7300.0
1022 	 8440.0
1023 	 9900.0
1024 	 6530.0
1025 	 8715.0
1026 	 5425.0
1027 	 9515.0
1028 	 8810.0
1029 	 7720.0
1030 	 7690.0
1031 	 7795.0
1032 	 10855.0
